rating,cleaned_reviews,category,cleaned_reviews_1,polarity
2.0,disappoint overal perform samsung,Negative,"['disappoint', 'overal', 'perform', 'samsung']",0.0
3.0,camera qualiti low,Neutral,"['camera', 'qualiti', 'low']",0.0
4.0,got mobil launch datebatteri must appreciatedcamera averagemobil perform averag hz refresh rate u r buy mobil featur im afraid u may get disappoint normalth usb cabl small lengthit good mobil budget return replac avail henc choos wise buy,Positive,"['get', 'mobil', 'launch', 'datebatteri', 'appreciatedcamera', 'averagemobil', 'perform', 'averag', 'refresh', 'rate', 'buy', 'mobil', 'featur', 'afraid', 'disappoint', 'normalth', 'usb', 'cabl', 'small', 'lengthit', 'good', 'mobil', 'budget', 'return', 'replac', 'avail', 'henc', 'choos', 'wise', 'buy']",0.13749999999999998
1.0,doesnt work ghz wifi frequenc ghz old school camera qualiti pathet front back forget mp pictur blur poorer mp one amazon didnt allow write review sold stock someth fishi return polici live phone didnt like decid,Negative,"['work', 'ghz', 'wifi', 'frequenc', 'ghz', 'old', 'school', 'camera', 'qualiti', 'pathet', 'forget', 'pictur', 'blur', 'poor', 'amazon', 'allow', 'write', 'review', 'sell', 'stock', 'someth', 'fishi', 'return', 'polici', 'live', 'phone', 'like', 'decid']",0.07878787878787878
1.0,worth buyingfaulti softwar poor display qualiti singl band wifi doesnt support ghz wifi band gyro sensor miss mani dont go paid review tube,Negative,"['worth', 'buyingfaulti', 'softwar', 'poor', 'display', 'qualiti', 'singl', 'band', 'wifi', 'support', 'ghz', 'wifi', 'band', 'gyro', 'sensor', 'miss', 'mani', 'pay', 'review', 'tube']",-0.05000000000000002
1.0,pm,Negative,[],0.0
1.0,never purchas samsung phone phone lag much slow wast hard earn money,Negative,"['purchas', 'samsung', 'phone', 'phone', 'lag', 'slow', 'wast', 'hard', 'earn', 'money']",-0.2958333333333334
1.0,worst samsung mobil seen samsung sceen qualiti color trash even old rs phone beat qualiti pleas never ever buy product,Negative,"['bad', 'samsung', 'mobil', 'see', 'samsung', 'sceen', 'qualiti', 'color', 'trash', 'old', 'phone', 'beat', 'qualiti', 'plea', 'buy', 'product']",-0.45
1.0,phone hang lot slow receiv replac continu hang,Negative,"['phone', 'hang', 'lot', 'slow', 'receiv', 'replac', 'continu', 'hang']",-0.30000000000000004
1.0,poor qualiti camera found box seal damag still amazon take backwast moneyphon slowdon buy amazonnow amazon start cheat custom make profit,Negative,"['poor', 'qualiti', 'camera', 'find', 'box', 'seal', 'damag', 'amazon', 'backwast', 'moneyphon', 'slowdon', 'buy', 'amazonnow', 'amazon', 'start', 'cheat', 'custom', 'profit']",-0.4
2.0,disappoint overal perform samsung,Negative,"['disappoint', 'overal', 'perform', 'samsung']",0.0
3.0,camera qualiti low,Neutral,"['camera', 'qualiti', 'low']",0.0
4.0,got mobil launch datebatteri must appreciatedcamera averagemobil perform averag hz refresh rate u r buy mobil featur im afraid u may get disappoint normalth usb cabl small lengthit good mobil budget return replac avail henc choos wise buy,Positive,"['get', 'mobil', 'launch', 'datebatteri', 'appreciatedcamera', 'averagemobil', 'perform', 'averag', 'refresh', 'rate', 'buy', 'mobil', 'featur', 'afraid', 'disappoint', 'normalth', 'usb', 'cabl', 'small', 'lengthit', 'good', 'mobil', 'budget', 'return', 'replac', 'avail', 'henc', 'choos', 'wise', 'buy']",0.13749999999999998
